well_ID sampleID Plate OD Timepoint HoursElapsed
A1 20D 1 0.129 T0 0
A2 20D 1 0.131 T0 0
A3 20D_Bd 1 0.144 T0 0
A4 20D_Bd 1 0.146 T0 0
A5 20D_2F 1 0.137 T0 0
A6 20D_2F 1 0.135 T0 0
A7 20D_2F_Bd 1 0.147 T0 0
A8 20D_2F_Bd 1 0.152 T0 0
A9 20D_Jliv10 1 0.139 T0 0
A10 20D_Jliv10 1 0.14 T0 0
A11 20D_Jliv10_Bd 1 0.15 T0 0
A12 20D_Jliv10_Bd 1 0.152 T0 0
B1 20D 1 0.128 T0 0
B2 20D 1 0.129 T0 0
B3 20D_Bd 1 0.142 T0 0
B4 20D_Bd 1 0.142 T0 0
B5 20D_2F 1 0.126 T0 0
B6 20D_2F 1 0.124 T0 0
B7 20D_2F_Bd 1 0.149 T0 0
B8 20D_2F_Bd 1 0.155 T0 0
B9 20D_Jliv10 1 0.148 T0 0
B10 20D_Jliv10 1 0.148 T0 0
B11 20D_Jliv10_Bd 1 0.164 T0 0
B12 20D_Jliv10_Bd 1 0.165 T0 0
C1 20D 1 0.131 T0 0
C2 20D 1 0.122 T0 0
C3 20D_Bd 1 0.134 T0 0
C4 20D_Bd 1 0.14 T0 0
C5 20D_2F 1 0.122 T0 0
C6 20D_2F 1 0.119 T0 0
C7 20D_2F_Bd 1 0.141 T0 0
C8 20D_2F_Bd 1 0.138 T0 0
C9 20D_Jliv10 1 0.147 T0 0
C10 20D_Jliv10 1 0.144 T0 0
C11 20D_Jliv10_Bd 1 0.153 T0 0
C12 20D_Jliv10_Bd 1 0.158 T0 0
D1 20D 1 0.125 T0 0
D2 20D 1 0.118 T0 0
D3 20D_Bd 1 0.132 T0 0
D4 20D_Bd 1 0.135 T0 0
D5 20D_2F 1 0.134 T0 0
D6 20D_2F 1 0.118 T0 0
D7 20D_2F_Bd 1 0.136 T0 0
D8 20D_2F_Bd 1 0.137 T0 0
D9 20D_Jliv10 1 0.144 T0 0
D10 20D_Jliv10 1 0.145 T0 0
D11 20D_Jliv10_Bd 1 0.161 T0 0
D12 20D_Jliv10_Bd 1 0.156 T0 0
E1 20D 1 0.127 T0 0
E2 20D 1 0.12 T0 0
E3 20D_Bd 1 0.131 T0 0
E4 20D_Bd 1 0.136 T0 0
E5 20D_2F 1 0.119 T0 0
E6 20D_2F 1 0.094 T0 0
E7 20D_2F_Bd 1 0.142 T0 0
E8 20D_2F_Bd 1 0.149 T0 0
E9 20D_Jliv10 1 0.143 T0 0
E10 20D_Jliv10 1 0.142 T0 0
E11 20D_Jliv10_Bd 1 0.16 T0 0
E12 20D_Jliv10_Bd 1 0.156 T0 0
F1 20D_JlivBTP 1 0.129 T0 0
F2 20D_JlivBTP 1 0.124 T0 0
F3 20D_JlivBTP 1 0.122 T0 0
F4 20D_JlivBTP 1 0.12 T0 0
F5 20D_JlivBTP 1 0.116 T0 0
F6 20D_JlivBTP 1 0.117 T0 0
F7 20D_JlivBTP 1 0.127 T0 0
F8 20D_JlivBTP 1 0.121 T0 0
F9 20D_JlivBTP 1 0.122 T0 0
F10 20D_JlivBTP 1 0.129 T0 0
F11 SterileMedium 1 0.178 T0 0
F12 SterileMedium 1 0.171 T0 0
G1 20D_JlivBTP_Bd 1 0.143 T0 0
G2 20D_JlivBTP_Bd 1 0.145 T0 0
G3 20D_JlivBTP_Bd 1 0.149 T0 0
G4 20D_JlivBTP_Bd 1 0.15 T0 0
G5 20D_JlivBTP_Bd 1 0.157 T0 0
G6 20D_JlivBTP_Bd 1 0.153 T0 0
G7 20D_JlivBTP_Bd 1 0.153 T0 0
G8 20D_JlivBTP_Bd 1 0.154 T0 0
G9 20D_JlivBTP_Bd 1 0.159 T0 0
G10 20D_JlivBTP_Bd 1 0.161 T0 0
H11 Live_Bd 1 0.138 T0 0
H12 Live_Bd 1 0.139 T0 0
A1 2F 2 0.153 T0 0
A2 2F 2 0.155 T0 0
A3 2F_Bd 2 0.164 T0 0
A4 2F_Bd 2 0.165 T0 0
A5 2F_Jliv10 2 0.13 T0 0
A6 2F_Jliv10 2 0.145 T0 0
A7 2F_Jliv10_Bd 2 0.156 T0 0
A8 2F_Jliv10_Bd 2 0.161 T0 0
A9 2f_JlivBTP 2 0.125 T0 0
A10 2f_JlivBTP 2 0.131 T0 0
A11 2f_JlivBTP_Bd 2 0.14 T0 0
A12 2f_JlivBTP_Bd 2 0.159 T0 0
B1 2F 2 0.152 T0 0
B2 2F 2 0.154 T0 0
B3 2F_Bd 2 0.165 T0 0
B4 2F_Bd 2 0.168 T0 0
B5 2F_Jliv10 2 0.129 T0 0
B6 2F_Jliv10 2 0.131 T0 0
B7 2F_Jliv10_Bd 2 0.16 T0 0
B8 2F_Jliv10_Bd 2 0.16 T0 0
B9 2f_JlivBTP 2 0.124 T0 0
B10 2f_JlivBTP 2 0.124 T0 0
B11 2f_JlivBTP_Bd 2 0.149 T0 0
B12 2f_JlivBTP_Bd 2 0.156 T0 0
C1 2F 2 0.146 T0 0
C2 2F 2 0.149 T0 0
C3 2F_Bd 2 0.161 T0 0
C4 2F_Bd 2 0.154 T0 0
C5 2F_Jliv10 2 0.123 T0 0
C6 2F_Jliv10 2 0.125 T0 0
C7 2F_Jliv10_Bd 2 0.155 T0 0
C8 2F_Jliv10_Bd 2 0.148 T0 0
C9 2f_JlivBTP 2 0.122 T0 0
C10 2f_JlivBTP 2 0.118 T0 0
C11 2f_JlivBTP_Bd 2 0.145 T0 0
C12 2f_JlivBTP_Bd 2 0.154 T0 0
D1 2F 2 0.147 T0 0
D2 2F 2 0.144 T0 0
D3 2F_Bd 2 0.169 T0 0
D4 2F_Bd 2 0.169 T0 0
D5 2F_Jliv10 2 0.123 T0 0
D6 2F_Jliv10 2 0.13 T0 0
D7 2F_Jliv10_Bd 2 0.156 T0 0
D8 2F_Jliv10_Bd 2 0.149 T0 0
D9 2f_JlivBTP 2 0.114 T0 0
D10 2f_JlivBTP 2 0.118 T0 0
D11 2f_JlivBTP_Bd 2 0.144 T0 0
D12 2f_JlivBTP_Bd 2 0.149 T0 0
E1 2F 2 0.139 T0 0
E2 2F 2 0.145 T0 0
E3 2F_Bd 2 0.154 T0 0
E4 2F_Bd 2 0.16 T0 0
E5 2F_Jliv10 2 0.114 T0 0
E6 2F_Jliv10 2 0.135 T0 0
E7 2F_Jliv10_Bd 2 0.152 T0 0
E8 2F_Jliv10_Bd 2 0.145 T0 0
E9 2f_JlivBTP 2 0.125 T0 0
E10 2f_JlivBTP 2 0.111 T0 0
E11 2f_JlivBTP_Bd 2 0.148 T0 0
E12 2f_JlivBTP_Bd 2 0.149 T0 0
F1 37E 2 0.123 T0 0
F2 37E 2 0.124 T0 0
F3 37E 2 0.133 T0 0
F4 37E 2 0.129 T0 0
F5 37E 2 0.128 T0 0
F6 37E 2 0.128 T0 0
F7 37E 2 0.129 T0 0
F8 37E 2 0.129 T0 0
F9 37E 2 0.131 T0 0
F10 37E 2 0.13 T0 0
G1 37E_Bd 2 0.135 T0 0
G2 37E_Bd 2 0.135 T0 0
G3 37E_Bd 2 0.136 T0 0
G4 37E_Bd 2 0.137 T0 0
G5 37E_Bd 2 0.137 T0 0
G6 37E_Bd 2 0.143 T0 0
G7 37E_Bd 2 0.139 T0 0
G8 37E_Bd 2 0.141 T0 0
G9 37E_Bd 2 0.139 T0 0
G10 37E_Bd 2 0.14 T0 0
G11 Live_Bd 2 0.154 T0 0
G12 Live_Bd 2 0.151 T0 0
H11 SterileMedium 2 0.158 T0 0
H12 SterileMedium 2 0.158 T0 0
A1 37E_20D 3 0.122 T0 0
A2 37E_20D 3 0.125 T0 0
A3 37E_20D_Bd 3 0.13 T0 0
A4 37E_20D_Bd 3 0.127 T0 0
A5 37E_2F 3 0.113 T0 0
A6 37E_2F 3 0.116 T0 0
A7 37E_2F_Bd 3 0.124 T0 0
A8 37E_2F_Bd 3 0.127 T0 0
A9 37E_54D 3 0.126 T0 0
A10 37E_54D 3 0.128 T0 0
A11 37E_54D_Bd 3 0.147 T0 0
A12 37E_54D_Bd 3 0.15 T0 0
B1 37E_20D 3 0.124 T0 0
B2 37E_20D 3 0.124 T0 0
B3 37E_20D_Bd 3 0.132 T0 0
B4 37E_20D_Bd 3 0.128 T0 0
B5 37E_2F 3 0.11 T0 0
B6 37E_2F 3 0.114 T0 0
B7 37E_2F_Bd 3 0.127 T0 0
B8 37E_2F_Bd 3 0.129 T0 0
B9 37E_54D 3 0.127 T0 0
B10 37E_54D 3 0.127 T0 0
B11 37E_54D_Bd 3 0.149 T0 0
B12 37E_54D_Bd 3 0.152 T0 0
C1 37E_20D 3 0.127 T0 0
C2 37E_20D 3 0.12 T0 0
C3 37E_20D_Bd 3 0.134 T0 0
C4 37E_20D_Bd 3 0.13 T0 0
C5 37E_2F 3 0.112 T0 0
C6 37E_2F 3 0.112 T0 0
C7 37E_2F_Bd 3 0.123 T0 0
C8 37E_2F_Bd 3 0.123 T0 0
C9 37E_54D 3 0.129 T0 0
C10 37E_54D 3 0.129 T0 0
C11 37E_54D_Bd 3 0.146 T0 0
C12 37E_54D_Bd 3 0.151 T0 0
D1 37E_20D 3 0.125 T0 0
D2 37E_20D 3 0.122 T0 0
D3 37E_20D_Bd 3 0.138 T0 0
D4 37E_20D_Bd 3 0.131 T0 0
D5 37E_2F 3 0.11 T0 0
D6 37E_2F 3 0.111 T0 0
D7 37E_2F_Bd 3 0.118 T0 0
D8 37E_2F_Bd 3 0.12 T0 0
D9 37E_54D 3 0.127 T0 0
D10 37E_54D 3 0.125 T0 0
D11 37E_54D_Bd 3 0.15 T0 0
D12 37E_54D_Bd 3 0.157 T0 0
E1 37E_20D 3 0.127 T0 0
E2 37E_20D 3 0.124 T0 0
E3 37E_20D_Bd 3 0.137 T0 0
E4 37E_20D_Bd 3 0.133 T0 0
E5 37E_2F 3 0.117 T0 0
E6 37E_2F 3 0.11 T0 0
E7 37E_2F_Bd 3 0.12 T0 0
E8 37E_2F_Bd 3 0.117 T0 0
E9 37E_54D 3 0.129 T0 0
E10 37E_54D 3 0.131 T0 0
E11 37E_54D_Bd 3 0.154 T0 0
E12 37E_54D_Bd 3 0.154 T0 0
F1 37E_Jliv10 3 0.129 T0 0
F2 37E_Jliv10 3 0.118 T0 0
F3 37E_Jliv10 3 0.116 T0 0
F4 37E_Jliv10 3 0.117 T0 0
F5 37E_Jliv10 3 0.116 T0 0
F6 37E_Jliv10 3 0.114 T0 0
F7 37E_Jliv10 3 0.114 T0 0
F8 37E_Jliv10 3 0.116 T0 0
F9 37E_Jliv10 3 0.13 T0 0
F10 37E_Jliv10 3 0.131 T0 0
F11 Live_Bd 3 0.171 T0 0
F12 Live_Bd 3 0.167 T0 0
G1 37E_Jliv10_Bd 3 0.149 T0 0
G2 37E_Jliv10_Bd 3 0.136 T0 0
G3 37E_Jliv10_Bd 3 0.135 T0 0
G4 37E_Jliv10_Bd 3 0.136 T0 0
G5 37E_Jliv10_Bd 3 0.139 T0 0
G6 37E_Jliv10_Bd 3 0.136 T0 0
G7 37E_Jliv10_Bd 3 0.144 T0 0
G8 37E_Jliv10_Bd 3 0.153 T0 0
G9 37E_Jliv10_Bd 3 0.149 T0 0
G10 37E_Jliv10_Bd 3 0.166 T0 0
G11 SterileMedium 3 0.137 T0 0
G12 SterileMedium 3 0.14 T0 0
A1 37E_JlivBTP 4 0.122 T0 0
A2 37E_JlivBTP 4 0.117 T0 0
A3 37E_JlivBTP_Bd 4 0.133 T0 0
A4 37E_JlivBTP_Bd 4 0.136 T0 0
A5 54D 4 0.137 T0 0
A6 54D 4 0.136 T0 0
A7 54D_Bd 4 0.144 T0 0
A8 54D_Bd 4 0.146 T0 0
A9 54D_20D 4 0.138 T0 0
A10 54D_20D 4 0.143 T0 0
A11 54D_20D_Bd 4 0.15 T0 0
A12 54D_20D_Bd 4 0.151 T0 0
B1 37E_JlivBTP 4 0.117 T0 0
B2 37E_JlivBTP 4 0.113 T0 0
B3 37E_JlivBTP_Bd 4 0.131 T0 0
B4 37E_JlivBTP_Bd 4 0.135 T0 0
B5 54D 4 0.133 T0 0
B6 54D 4 0.134 T0 0
B7 54D_Bd 4 0.148 T0 0
B8 54D_Bd 4 0.145 T0 0
B9 54D_20D 4 0.14 T0 0
B10 54D_20D 4 0.141 T0 0
B11 54D_20D_Bd 4 0.15 T0 0
B12 54D_20D_Bd 4 0.149 T0 0
C1 37E_JlivBTP 4 0.114 T0 0
C2 37E_JlivBTP 4 0.121 T0 0
C3 37E_JlivBTP_Bd 4 0.132 T0 0
C4 37E_JlivBTP_Bd 4 0.133 T0 0
C5 54D 4 0.131 T0 0
C6 54D 4 0.132 T0 0
C7 54D_Bd 4 0.146 T0 0
C8 54D_Bd 4 0.145 T0 0
C9 54D_20D 4 0.137 T0 0
C10 54D_20D 4 0.137 T0 0
C11 54D_20D_Bd 4 0.14 T0 0
C12 54D_20D_Bd 4 0.145 T0 0
D1 37E_JlivBTP 4 0.114 T0 0
D2 37E_JlivBTP 4 0.11 T0 0
D3 37E_JlivBTP_Bd 4 0.12 T0 0
D4 37E_JlivBTP_Bd 4 0.131 T0 0
D5 54D 4 0.128 T0 0
D6 54D 4 0.132 T0 0
D7 54D_Bd 4 0.143 T0 0
D8 54D_Bd 4 0.143 T0 0
D9 54D_20D 4 0.136 T0 0
D10 54D_20D 4 0.136 T0 0
D11 54D_20D_Bd 4 0.148 T0 0
D12 54D_20D_Bd 4 0.146 T0 0
E1 37E_JlivBTP 4 0.112 T0 0
E2 37E_JlivBTP 4 0.116 T0 0
E3 37E_JlivBTP_Bd 4 0.121 T0 0
E4 37E_JlivBTP_Bd 4 0.13 T0 0
E5 54D 4 0.127 T0 0
E6 54D 4 0.129 T0 0
E7 54D_Bd 4 0.143 T0 0
E8 54D_Bd 4 0.141 T0 0
E9 54D_20D 4 0.134 T0 0
E10 54D_20D 4 0.134 T0 0
E11 54D_20D_Bd 4 0.144 T0 0
E12 54D_20D_Bd 4 0.141 T0 0
F1 54D_2F 4 0.125 T0 0
F2 54D_2F 4 0.126 T0 0
F3 54D_2F 4 0.127 T0 0
F4 54D_2F 4 0.128 T0 0
F5 54D_2F 4 0.127 T0 0
F6 54D_2F 4 0.129 T0 0
F7 54D_2F 4 0.13 T0 0
F8 54D_2F 4 0.129 T0 0
F9 54D_2F 4 0.131 T0 0
F10 54D_2F 4 0.137 T0 0
F11 SterileMedium 4 0.153 T0 0
F12 SterileMedium 4 0.153 T0 0
G1 54D_2F_Bd 4 0.158 T0 0
G2 54D_2F_Bd 4 0.15 T0 0
G3 54D_2F_Bd 4 0.152 T0 0
G4 54D_2F_Bd 4 0.144 T0 0
G5 54D_2F_Bd 4 0.15 T0 0
G6 54D_2F_Bd 4 0.146 T0 0
G7 54D_2F_Bd 4 0.146 T0 0
G8 54D_2F_Bd 4 0.149 T0 0
G9 54D_2F_Bd 4 0.149 T0 0
G10 54D_2F_Bd 4 0.153 T0 0
H1 JlivBTP 4 0.078 T0 0
H2 JlivBTP 4 0.079 T0 0
H3 JlivBTP 4 0.078 T0 0
H4 JlivBTP 4 0.079 T0 0
H5 JlivBTP 4 0.078 T0 0
H6 JlivBTP 4 0.077 T0 0
H7 JlivBTP 4 0.079 T0 0
H8 JlivBTP 4 0.078 T0 0
H9 JlivBTP 4 0.078 T0 0
H10 JlivBTP 4 0.079 T0 0
H11 Live_Bd 4 0.127 T0 0
H12 Live_Bd 4 0.128 T0 0
A1 54D_Jliv10 5 0.118 T0 0
A2 54D_Jliv10 5 0.118 T0 0
A3 54D_Jliv10_Bd 5 0.16 T0 0
A4 54D_Jliv10_Bd 5 0.153 T0 0
A5 54D_JlivBTP 5 0.131 T0 0
A6 54D_JlivBTP 5 0.132 T0 0
A7 54D_JlivBTP_Bd 5 0.144 T0 0
A8 54D_JlivBTP_Bd 5 0.148 T0 0
A9 Jliv10 5 0.143 T0 0
A10 Jliv10 5 0.147 T0 0
A11 Jliv10_Bd 5 0.17 T0 0
A12 Jliv10_Bd 5 0.175 T0 0
B1 54D_Jliv10 5 0.116 T0 0
B2 54D_Jliv10 5 0.116 T0 0
B3 54D_Jliv10_Bd 5 0.151 T0 0
B4 54D_Jliv10_Bd 5 0.15 T0 0
B5 54D_JlivBTP 5 0.132 T0 0
B6 54D_JlivBTP 5 0.131 T0 0
B7 54D_JlivBTP_Bd 5 0.146 T0 0
B8 54D_JlivBTP_Bd 5 0.144 T0 0
B9 Jliv10 5 0.152 T0 0
B10 Jliv10 5 0.15 T0 0
B11 Jliv10_Bd 5 0.177 T0 0
B12 Jliv10_Bd 5 0.175 T0 0
C1 54D_Jliv10 5 0.117 T0 0
C2 54D_Jliv10 5 0.112 T0 0
C3 54D_Jliv10_Bd 5 0.143 T0 0
C4 54D_Jliv10_Bd 5 0.143 T0 0
C5 54D_JlivBTP 5 0.128 T0 0
C6 54D_JlivBTP 5 0.13 T0 0
C7 54D_JlivBTP_Bd 5 0.149 T0 0
C8 54D_JlivBTP_Bd 5 0.142 T0 0
C9 Jliv10 5 0.149 T0 0
C10 Jliv10 5 0.142 T0 0
C11 Jliv10_Bd 5 0.168 T0 0
C12 Jliv10_Bd 5 0.174 T0 0
D1 54D_Jliv10 5 0.111 T0 0
D2 54D_Jliv10 5 0.11 T0 0
D3 54D_Jliv10_Bd 5 0.141 T0 0
D4 54D_Jliv10_Bd 5 0.141 T0 0
D5 54D_JlivBTP 5 0.125 T0 0
D6 54D_JlivBTP 5 0.133 T0 0
D7 54D_JlivBTP_Bd 5 0.143 T0 0
D8 54D_JlivBTP_Bd 5 0.134 T0 0
D9 Jliv10 5 0.148 T0 0
D10 Jliv10 5 0.122 T0 0
D11 Jliv10_Bd 5 0.165 T0 0
