Sample_Type	Replicate_trial	HR0_OD	HR12_OD	HR24_OD	HR36_OD	HR48_OD	HR52_OD
20D	20D_1	0.076	0.208	0.305	0.47	0.517	0.712
20D	20D_2	0.082	0.165	0.41	0.546	0.542	0.713
20D	20D_3	0.061	0.229	0.412	0.475	0.508	0.679
20D_2F	20D_2F_1	-0.003	0.336	0.341	0.401	0.531	0.606
20D_2F	20D_2F_2	0	0.352	0.435	0.391	0.499	0.62
20D_2F	20D_2F_3	0.022	0.339	0.374	0.4	0.428	0.547
20D_Jliv10	20D_Jliv10_1	0.008	0.181	0.354	0.464	0.415	0.643
20D_Jliv10	20D_Jliv10_2	-0.085	0.263	0.392	0.458	0.403	0.519
20D_Jliv10	20D_Jliv10_3	-0.05	0.257	0.377	0.465	0.417	0.511
20D_JlivBTP	20D_JlivBTP_1	0.012	0.358	0.362	0.318	0.945	0.524
20D_JlivBTP	20D_JlivBTP_2	0.007	0.346	0.423	0.46	0.694	0.59
20D_JlivBTP	20D_JlivBTP_3	0.017	0.393	0.419	0.605	0.517	0.53
2F	2F_1	-0.047	0.243	0.298	0.363	0.461	0.554
2F	2F_2	-0.068	0.179	0.156	0.314	0.566	0.636
2F	2F_3	-0.086	0.178	0.209	0.306	0.376	0.726
2F_Jliv10	2F_Jliv10_1	0.037	0.096	0.371	0.851	0.585	0.631
2F_Jliv10	2F_Jliv10_2	0	0.115	0.398	0.393	0.797	0.602
2F_Jliv10	2F_Jliv10_3	0.006	0.102	0.373	0.366	0.64	0.562
2f_JlivBTP	2f_JlivBTP_1	0.006	0.195	0.414	0.378	0.516	0.721
2f_JlivBTP	2f_JlivBTP_2	0.015	0.158	0.392	0.309	0.488	0.606
2f_JlivBTP	2f_JlivBTP_3	0.014	0.128	0.417	0.36	0.658	0.589
37E	37E_1	-0.009	0.201	0.32	0.415	0.444	0.477
37E	37E_2	-0.125	0.284	0.437	0.530	0.422	0.525
37E	37E_3	-0.012	0.209	0.254	0.478	0.41	0.461
37E_20D	37E_20D_1	0.008	0.223	0.38	0.552	0.59	0.601
37E_20D	37E_20D_2	-0.049	0.325	0.496	0.541	0.496	0.615
37E_20D	37E_20D_3	-0.095	0.224	0.292	0.471	0.444	0.644
37E_2F	37E_2F_1	-0.012	0.112	0.265	0.34	0.331	0.945
37E_2F	37E_2F_2	-0.009	0.115	0.275	0.22	0.334	0.677
37E_2F	37E_2F_3	-0.089	0.079	0.234	0.338	0.67	0.485
37E_54D	37E_54D_1	-0.003	0.34	0.309	0.38	0.619	0.618
37E_54D	37E_54D_2	-0.004	0.335	0.313	0.209	0.409	0.521
37E_54D	37E_54D_3	-0.077	0.201	0.298	0.218	0.436	0.632
37E_Jliv10	37E_Jliv10_1	0.003	0.344	0.35	0.479	0.407	0.412
37E_Jliv10	37E_Jliv10_2	-0.015	0.277	0.344	0.429	0.369	0.479
37E_Jliv10	37E_Jliv10_3	-0.142	0.273	0.333	0.467	0.431	0.413
37E_JlivBTP	37E_JlivBTP_1	-0.122	0.209	0.349	0.5	0.508	0.517
37E_JlivBTP	37E_JlivBTP_2	-0.018	0.132	0.316	0.404	0.426	0.565
37E_JlivBTP	37E_JlivBTP_3	-0.018	0.204	0.329	0.502	0.532	0.773
54D	54D_1	-0.024	0.172	0.069	-0.018	-0.084	0.018
54D	54D_2	-0.004	0.155	0.098	-0.044	-0.055	0.005
54D	54D_3	-0.013	0.164	0.097	-0.006	-0.027	-0.008
54D_20D	54D_20D_1	-0.03	0.141	0.452	0.461	0.489	0.618
54D_20D	54D_20D_2	0.019	0.087	0.375	0.344	0.444	0.567
54D_20D	54D_20D_3	0.013	0.135	0.396	0.375	0.517	0.556
54D_2F	54D_2F_1	0.028	0.96	0.419	0.753	0.615	0.602
54D_2F	54D_2F_2	0.003	0.133	0.476	0.637	0.623	0.748
54D_2F	54D_2F_3	0	0.088	0.411	0.357	0.677	0.584
54D_Jliv10	54D_Jliv10_1	0.072	0.11	0.309	0.47	0.553	0.657
54D_Jliv10	54D_Jliv10_2	0.086	0.098	0.319	0.416	0.554	0.648
54D_Jliv10	54D_Jliv10_3	0.049	0.132	0.28	0.46	0.522	0.605
54D_JlivBTP	54D_JlivBTP_1	0.054	0.173	0.365	0.476	0.214	0.899
54D_JlivBTP	54D_JlivBTP_2	0.092	0.14	0.281	0.403	0.54	0.631
54D_JlivBTP	54D_JlivBTP_3	0.062	0.12	0.293	0.475	0.49	0.649
Jliv10	Jliv10_1	0.031	0.27	0.209	0.626	0.6	0.982
Jliv10	Jliv10_2	-0.017	0.213	0.21	0.65	0.546	0.964
Jliv10	Jliv10_3	-0.019	0.208	0.34	0.736	0.668	1.044
JlivBTP	JlivBTP_1	-0.018	0.139	0.197	0.632	0.622	0.874
JlivBTP	JlivBTP_2	0.007	0.207	0.457	0.436	0.498	0.9
JlivBTP	JlivBTP_3	-0.007	0.243	0.57	0.494	0.482	1.052
Jliv10_JlivBTP	Jliv10_JlivBTP_1	-0.002	0.155	0.287	0.302	0.232	0.731
Jliv10_JlivBTP	Jliv10_JlivBTP_2	-0.001	0.243	0.288	0.308	0.384	0.541
Jliv10_JlivBTP	Jliv10_JlivBTP_3	-0.138	0.213	0.308	0.261	0.141	0.84
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
