"sampleID" "Replicate_trial" "Rep" "OD" "HoursElapsed" "OD_adj"
"1" "20D" "20D_1" "1" 0.076 0 0.076
"2" "20D" "20D_1" "1" 0.208 12 0.208
"3" "20D" "20D_1" "1" 0.305 24 0.305
"4" "20D" "20D_1" "1" 0.47 36 0.47
"5" "20D" "20D_1" "1" 0.517 48 0.517
"6" "20D" "20D_2" "2" 0.082 0 0.082
"7" "20D" "20D_2" "2" 0.165 12 0.165
"8" "20D" "20D_2" "2" 0.41 24 0.41
"9" "20D" "20D_2" "2" 0.546 36 0.546
"10" "20D" "20D_2" "2" 0.542 48 0.542
"11" "20D" "20D_3" "3" 0.061 0 0.061
"12" "20D" "20D_3" "3" 0.229 12 0.229
"13" "20D" "20D_3" "3" 0.412 24 0.412
"14" "20D" "20D_3" "3" 0.475 36 0.475
"15" "20D" "20D_3" "3" 0.508 48 0.508
"16" "20D_2F" "20D_2F_1" "1" -0.003 0 -0.003
"17" "20D_2F" "20D_2F_1" "1" 0.336 12 0.336
"18" "20D_2F" "20D_2F_1" "1" 0.341 24 0.341
"19" "20D_2F" "20D_2F_1" "1" 0.401 36 0.401
"20" "20D_2F" "20D_2F_1" "1" 0.531 48 0.531
"21" "20D_2F" "20D_2F_2" "2" 0 0 0
"22" "20D_2F" "20D_2F_2" "2" 0.352 12 0.352
"23" "20D_2F" "20D_2F_2" "2" 0.435 24 0.435
"24" "20D_2F" "20D_2F_2" "2" 0.391 36 0.391
"25" "20D_2F" "20D_2F_2" "2" 0.499 48 0.499
"26" "20D_2F" "20D_2F_3" "3" 0.022 0 0.022
"27" "20D_2F" "20D_2F_3" "3" 0.339 12 0.339
"28" "20D_2F" "20D_2F_3" "3" 0.374 24 0.374
"29" "20D_2F" "20D_2F_3" "3" 0.4 36 0.4
"30" "20D_2F" "20D_2F_3" "3" 0.428 48 0.428
"31" "20D_Jliv10" "20D_Jliv10_1" "1" 0.008 0 0.008
"32" "20D_Jliv10" "20D_Jliv10_1" "1" 0.181 12 0.181
"33" "20D_Jliv10" "20D_Jliv10_1" "1" 0.354 24 0.354
"34" "20D_Jliv10" "20D_Jliv10_1" "1" 0.464 36 0.464
"35" "20D_Jliv10" "20D_Jliv10_1" "1" 0.415 48 0.415
"36" "20D_Jliv10" "20D_Jliv10_2" "2" -0.085 0 -0.085
"37" "20D_Jliv10" "20D_Jliv10_2" "2" 0.263 12 0.263
"38" "20D_Jliv10" "20D_Jliv10_2" "2" 0.392 24 0.392
"39" "20D_Jliv10" "20D_Jliv10_2" "2" 0.458 36 0.458
"40" "20D_Jliv10" "20D_Jliv10_2" "2" 0.403 48 0.403
"41" "20D_Jliv10" "20D_Jliv10_3" "3" -0.05 0 -0.05
"42" "20D_Jliv10" "20D_Jliv10_3" "3" 0.257 12 0.257
"43" "20D_Jliv10" "20D_Jliv10_3" "3" 0.377 24 0.377
"44" "20D_Jliv10" "20D_Jliv10_3" "3" 0.465 36 0.465
"45" "20D_Jliv10" "20D_Jliv10_3" "3" 0.417 48 0.417
"46" "20D_JlivBTP" "20D_JlivBTP_1" "1" 0.012 0 0.012
"47" "20D_JlivBTP" "20D_JlivBTP_1" "1" 0.358 12 0.358
"48" "20D_JlivBTP" "20D_JlivBTP_1" "1" 0.362 24 0.362
"49" "20D_JlivBTP" "20D_JlivBTP_1" "1" 0.318 36 0.318
"50" "20D_JlivBTP" "20D_JlivBTP_1" "1" 0.945 48 0.945
"51" "20D_JlivBTP" "20D_JlivBTP_2" "2" 0.007 0 0.007
"52" "20D_JlivBTP" "20D_JlivBTP_2" "2" 0.346 12 0.346
"53" "20D_JlivBTP" "20D_JlivBTP_2" "2" 0.423 24 0.423
"54" "20D_JlivBTP" "20D_JlivBTP_2" "2" 0.46 36 0.46
"55" "20D_JlivBTP" "20D_JlivBTP_2" "2" 0.694 48 0.694
"56" "20D_JlivBTP" "20D_JlivBTP_3" "3" 0.017 0 0.017
"57" "20D_JlivBTP" "20D_JlivBTP_3" "3" 0.393 12 0.393
"58" "20D_JlivBTP" "20D_JlivBTP_3" "3" 0.419 24 0.419
"59" "20D_JlivBTP" "20D_JlivBTP_3" "3" 0.605 36 0.605
"60" "20D_JlivBTP" "20D_JlivBTP_3" "3" 0.517 48 0.517
"61" "2F" "2F_1" "1" -0.047 0 -0.047
"62" "2F" "2F_1" "1" 0.243 12 0.243
"63" "2F" "2F_1" "1" 0.298 24 0.298
"64" "2F" "2F_1" "1" 0.363 36 0.363
