"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"1" "A3_1" "A3" "20D_Bd" 1 0.144 "T0" 0 "1" "Bd" "20D" 0.126 0.00459468291736341 0.018
"2" "A4_1" "A4" "20D_Bd" 1 0.146 "T0" 0 "2" "Bd" "20D" 0.126 0.00459468291736341 0.02
"3" "A7_1" "A7" "20D_2F_Bd" 1 0.147 "T0" 0 "1" "Bd" "20D_2F" 0.1228 0.0123360357399684 0.0242
"4" "A8_1" "A8" "20D_2F_Bd" 1 0.152 "T0" 0 "2" "Bd" "20D_2F" 0.1228 0.0123360357399684 0.0292
"5" "A11_1" "A11" "20D_Jliv10_Bd" 1 0.15 "T0" 0 "1" "Bd" "20D_Jliv10" 0.144 0.00312694383988228 0.00600000000000001
"6" "A12_1" "A12" "20D_Jliv10_Bd" 1 0.152 "T0" 0 "2" "Bd" "20D_Jliv10" 0.144 0.00312694383988228 0.00800000000000001
"7" "B3_1" "B3" "20D_Bd" 1 0.142 "T0" 0 "3" "Bd" "20D" 0.126 0.00459468291736341 0.016
"8" "B4_1" "B4" "20D_Bd" 1 0.142 "T0" 0 "4" "Bd" "20D" 0.126 0.00459468291736341 0.016
"9" "B7_1" "B7" "20D_2F_Bd" 1 0.149 "T0" 0 "3" "Bd" "20D_2F" 0.1228 0.0123360357399684 0.0262
"10" "B8_1" "B8" "20D_2F_Bd" 1 0.155 "T0" 0 "4" "Bd" "20D_2F" 0.1228 0.0123360357399684 0.0322
"11" "B11_1" "B11" "20D_Jliv10_Bd" 1 0.164 "T0" 0 "3" "Bd" "20D_Jliv10" 0.144 0.00312694383988228 0.02
"12" "B12_1" "B12" "20D_Jliv10_Bd" 1 0.165 "T0" 0 "4" "Bd" "20D_Jliv10" 0.144 0.00312694383988228 0.021
"13" "C3_1" "C3" "20D_Bd" 1 0.134 "T0" 0 "5" "Bd" "20D" 0.126 0.00459468291736341 0.00800000000000001
"14" "C4_1" "C4" "20D_Bd" 1 0.14 "T0" 0 "6" "Bd" "20D" 0.126 0.00459468291736341 0.014
"15" "C7_1" "C7" "20D_2F_Bd" 1 0.141 "T0" 0 "5" "Bd" "20D_2F" 0.1228 0.0123360357399684 0.0182
"16" "C8_1" "C8" "20D_2F_Bd" 1 0.138 "T0" 0 "6" "Bd" "20D_2F" 0.1228 0.0123360357399684 0.0152
"17" "C11_1" "C11" "20D_Jliv10_Bd" 1 0.153 "T0" 0 "5" "Bd" "20D_Jliv10" 0.144 0.00312694383988228 0.00900000000000001
"18" "C12_1" "C12" "20D_Jliv10_Bd" 1 0.158 "T0" 0 "6" "Bd" "20D_Jliv10" 0.144 0.00312694383988228 0.014
