"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"1" "A3_1" "A3" "20D_Bd" 1 0.137 "T0" 0 "1" "Bd" "20D" 0.1299 0.00264365067451978 0.0071
"2" "A4_1" "A4" "20D_Bd" 1 0.138 "T0" 0 "2" "Bd" "20D" 0.1299 0.00264365067451978 0.0081
"3" "A7_1" "A7" "20D_2F_Bd" 1 0.137 "T0" 0 "1" "Bd" "20D_2F" 0.1303 0.00294580681270476 0.00670000000000001
"4" "A8_1" "A8" "20D_2F_Bd" 1 0.142 "T0" 0 "2" "Bd" "20D_2F" 0.1303 0.00294580681270476 0.0117
"5" "A11_1" "A11" "20D_Jliv10_Bd" 1 0.148 "T0" 0 "1" "Bd" "20D_Jliv10" 0.1396 0.00259058123036338 0.00839999999999999
"6" "A12_1" "A12" "20D_Jliv10_Bd" 1 0.148 "T0" 0 "2" "Bd" "20D_Jliv10" 0.1396 0.00259058123036338 0.00839999999999999
"7" "B3_1" "B3" "20D_Bd" 1 0.138 "T0" 0 "3" "Bd" "20D" 0.1299 0.00264365067451978 0.0081
"8" "B4_1" "B4" "20D_Bd" 1 0.136 "T0" 0 "4" "Bd" "20D" 0.1299 0.00264365067451978 0.00609999999999999
"9" "B7_1" "B7" "20D_2F_Bd" 1 0.142 "T0" 0 "3" "Bd" "20D_2F" 0.1303 0.00294580681270476 0.0117
"10" "B8_1" "B8" "20D_2F_Bd" 1 0.147 "T0" 0 "4" "Bd" "20D_2F" 0.1303 0.00294580681270476 0.0167
"11" "B11_1" "B11" "20D_Jliv10_Bd" 1 0.148 "T0" 0 "3" "Bd" "20D_Jliv10" 0.1396 0.00259058123036338 0.00839999999999999
"12" "B12_1" "B12" "20D_Jliv10_Bd" 1 0.151 "T0" 0 "4" "Bd" "20D_Jliv10" 0.1396 0.00259058123036338 0.0114
